baseline,gap,n_episodes,ci_lo,ci_hi,p_boot
aci,0.05196399345335515,18,-0.0006815911488182355,0.09669431849198061,0.0568
cpid,0.044844517184942714,18,-0.006215228759594119,0.08741646442497979,0.1056
dtaci,0.04517184942716858,18,-0.0015568434065479624,0.08663384718876833,0.0608
har_qreg,0.06644844517184943,18,-0.008161608769535545,0.1264615996176091,0.0988
knn_state,0.05180032733224223,18,-0.009109212157205927,0.10473553201865021,0.1342
pogo,0.11055646481178397,18,0.0807396988856606,0.15372615740378773,0.0
pooled_k1,0.008101472995090012,18,-0.012848154271629237,0.04393482583723852,0.4862
rc_hand,-0.0005728314238952548,18,-0.007909597226967964,0.005877466621152663,0.8308
rkr,0.03543371522094926,18,-0.001668613190926051,0.06801953782006752,0.071
sfogd,0.04091653027823241,18,-0.0032948774583457002,0.07897348591010292,0.0812
tcp_rm,0.03240589198036006,18,-0.006307864982541549,0.0670982916546416,0.1224
xs_panel,0.054009819967266774,18,0.02835878323380594,0.0882960011999964,0.0002
