entry_date,episode
2006-05-17,0
2006-05-30,0
2006-06-05,0
2006-06-16,0
2006-07-13,0
2006-07-21,0
2007-02-27,1
2007-03-02,1
2007-03-13,1
2007-06-07,2
2007-06-26,2
2007-07-10,2
2007-07-20,2
2007-10-19,3
2007-11-01,3
2007-11-07,3
2007-12-17,3
2008-01-08,3
2008-01-16,3
2008-02-04,3
2008-02-29,3
2008-03-06,3
2008-03-19,3
2008-07-11,4
2008-09-15,5
2008-12-15,5
2009-01-20,6
2014-10-15,7
2014-12-16,8
2015-01-06,8
2015-01-14,8
2015-07-08,9
2015-08-20,10
2015-09-22,10
2015-12-11,11
2016-01-07,11
2016-01-25,11
2016-01-27,11
2016-02-05,11
2016-06-24,12
2018-02-05,13
2018-03-23,14
2018-10-10,15
2018-10-24,15
2018-12-07,16
2018-12-17,16
2019-01-03,16
2019-08-05,17
2019-08-14,17
2020-02-24,18
2020-06-11,19
2020-10-28,20
2024-08-05,21
2025-04-03,22
2025-10-16,23
2025-11-18,24
2025-11-20,24
