baseline,t,p_rw_adjusted
pogo,5.439342547392826,0.01740348069613923
xs_panel,3.917563504457158,0.04120824164832967
aci,3.000380983248471,0.09941988397679535
dtaci,2.7785626832524417,0.1250250050010002
rkr,2.749047159311211,0.1280256051210242
cpid,2.6508549926316087,0.14322864572914584
sfogd,2.6485793642086515,0.14322864572914584
knn_state,2.4716402905364148,0.1764352870574115
tcp_rm,2.3153452632099762,0.1974394878975795
har_qreg,2.189529147867378,0.20864172834566913
pooled_k1,0.757689720221641,0.7861572314462892
rc_hand,-0.5322420984182692,0.7861572314462892
