alpha,method,rate,rate_calm,rate_stress,kupiec_pass,christoffersen_pass,dq_pass
0.05,normal,0.07532828036390055,0.06728470312514766,0.12766535379600708,0.01,0.72,0.0
0.05,fhs,0.05260889365993299,0.0477182736559597,0.09221784598669021,1.0,0.7,0.56
0.05,garch_t,0.05574531299133622,0.044349313450325556,0.11462719000407443,0.59,0.73,0.32
0.05,caviar,0.055143510837860406,0.04485489373363952,0.11408393317941057,0.75,0.6,0.35
0.05,aci,0.05082788458410592,0.046650412496810595,0.0887545837294581,1.0,0.74,0.74
0.05,rc_panel,0.05152727627598321,0.05108250881221709,0.05629498845579248,0.74,0.72,0.65
0.05,rc_adaptive,0.050125782071717466,0.04996739715930031,0.057041966589705284,0.76,0.82,0.71
0.01,normal,0.03235906444162519,0.027863616174789028,0.06878989542306126,0.0,0.71,0.0
0.01,fhs,0.012670375069125923,0.011741747701263478,0.030490289284259134,0.81,0.8,0.52
0.01,garch_t,0.013489042863493922,0.010215556752568064,0.0372130924894744,0.52,0.86,0.36
0.01,caviar,0.014901380349804278,0.011118041183530368,0.0410837973652044,0.47,0.8,0.27
0.01,aci,0.013478199581449314,0.012143376898288587,0.03436099415998913,0.48,0.79,0.38
0.01,rc_panel,0.011911345326003275,0.01137319384987573,0.017112589976911584,0.79,0.88,0.65
0.01,rc_adaptive,0.010759246608763541,0.01017303130817717,0.0186065462447372,0.84,0.87,0.77
